,Ids,Employer,Name,Salary,From,To,Experience,Schedule,Keys,Description
20,88987370,ИНИТИ,Программист C++ (Middle),True,217500.0,,От 1 года до 3 лет,Удаленная работа,"['c++', 'stl']",управление ос linux архитектура ос linux ооп c++ stl cmake git документация ipmi
21,88761666,Gamedev,Junior+ Unreal developer C++ на UEFN (Fortnite custom map) проект,True,69600.0,113100.0,От 1 года до 3 лет,Удаленная работа,['c++'],ооп solid dry c++ middle github
22,88393068,BAUM,C++ Developer,False,,,От 1 года до 3 лет,Полный день,"['linux', 'unix', 'c++']",c++ unix архитектура с++ unix linux unix linux bash awk git документация архитектура архитектура python
23,88943824,SafeTech,IOS разработчик (Middle),True,200000.0,,От 3 до 6 лет,Полный день,,swift foundation uikit coredata многопоточность cocoapods spm dry c c c++ api swift swiftui combine rxswift sdk архитектура
24,88577144,НОРСИ,Frontend Javascript разработчик,True,120000.0,180000.0,От 1 года до 3 лет,Полный день,"['html', 'api', 'javascript', 'js']",js визуализация js webpack react php python go rust c c++ spa api javascript архитектура js js es5 es6 http html css javascript алгоритм js gui webpack api backend документация
25,88997570,НИЦ,Программист Junior С++,True,80000.0,,От 1 года до 3 лет,Гибкий график,,автоматизация с++ windows linux с++ c++ qt qt stl qml ос windows linux svn с++ qt qml windows linux с++ субд oracle postgres sql страхование
26,87161520,ЧОП,Программист,True,250000.0,,Нет опыта,Гибкий график,,web с++ powershell python django php laravel ruby ror javascript
27,88580850,Научно,Middle Desktop Developer C++,True,140000.0,200000.0,От 1 года до 3 лет,Удаленная работа,"['c++', 'qt', 'qml', 'git', 'opengl']",ai алгоритм алгоритм frontend архитектура документация планирование тестирование алгоритм c++ stl qt qml алгоритм git ооп solid документация грамотность opengl cmake github gitlab uml c++ qt qml git github jira windows macos git
28,88862826,Информтехника,Разработчик Node.js,True,121800.0,156600.0,От 1 года до 3 лет,Полный день,"['node.js', 'linux', 'postgresql', 'redis', 'git']",js typescript rest api websocket socket redis kafka c++ postgresql git архитектура администрирование
29,88732344,РС,Программист-стажер 1С,True,30000.0,,Нет опыта,Удаленная работа,['стажер'],1с java с++ python 1с 1с
30,77231329,Никс,Программист C/C++,True,190000.0,259000.0,Нет опыта,Полный день,,c++ com sql субд crm erp алгоритм
31,88920314,SberTech,Senior C/C++ developer,True,,450000.0,От 3 до 6 лет,Полный день,"['c/c++', 'linux', 'tcp/ip']",с++ c++ linux dpdk страхование
32,88571544,IT,Embedded разработчик (middle/senior),True,190000.0,270000.0,От 3 до 6 лет,Полный день,"['c/c++', 'qt', 'python', 'git', 'can', 'dali', 'lora', 'tcp/ip']",embedded iot управление embedded backend документация микроконтроллер микроконтроллер осциллограф qt
33,88898602,РЕСТАДВАЙЗЕР,Python Backend Developer,True,150000.0,300000.0,От 3 до 6 лет,Полный день,"['python', 'docker', 'sql', 'rabbitmq', 'ci/cd', 'linux']",ml nlp управление ml алгоритм нейросеть управление ml отчётность ml архитектура rabbitmq управление микросервис docker микросервис elk статистика отчётность python pytorch bi metabase rabbitmq nats redis docker kubernetes linux ci cd планирование python ооп микросервис rabbitmq sql docker ci cd микросервис linux с++
34,87800849,Наталия,Web-разработчик Full Stack,True,500000.0,,Более 6 лет,Удаленная работа,"['node.js', 'redis', 'typescript', 'javascript', 'mysql']",middle nlp архитектура ai ai enterprise highload js es6 jest orm mysql sql php orm laravel yii css git apache nginx c++ rust go python sphinx rabbitmq redis docker elasticsearch
35,88848245,BrainShells,"Senior Java Engineer (JavaSE, algorithms, optimization)",True,474645.0,,Более 6 лет,Удаленная работа,"['c++', 'java', 'многопоточность']",c алгоритм senior java алгоритм алгоритм алгоритм java многопоточность алгоритм алгоритм многопоточность документация формула статистика с++ ml bash
36,88806474,Ай,Программист систем «Умный дом»,True,110000.0,,От 1 года до 3 лет,Полный день,"['java', 'с#', 'c++', 'ответственность', 'javascript']",dali modbus sip документация автоматизация микроконтроллер c c++ c# java javascript ответственность
37,88850580,Солнечный,"Начинающий программист-математик (python, машинное обучение, компьютерное зрение) в Зеленограде",True,,100000.0,От 1 года до 3 лет,Гибкий график,"['c#', 'mongodb', 'python', 'jupiter', 'opencv', 'tensorrt', 'c/c++', 'ubuntu', 'docker']",pytorch tensorrt python python numpy pandas pytorch статистика ml cnn алгоритм linux docker git c# c++ sql sql mongodb sql администрирование linux ubuntu администрирование linux mongodb redis docker kubernetes agile c# микросервис nosql
38,88993732,Аврора,Программист SQL,True,90000.0,,От 1 года до 3 лет,Полный день,"['sql', 'c++', 'java']",управление sql sql тестирование документация с# c++ java javascript sql ооп внимательность ответственность
39,88686924,Auriga,Младший инженер-разработчик С/С++ (Linux),False,,,От 1 года до 3 лет,Полный день,"['linux', 'arm', 'drivers', 'c', 'многопоточность']",с++ c c++ ос linux ос архитектура linux тестирование архитектура unix linux ос linux unix
40,88695091,SR,Разработчик встроенного ПО для БПЛА,False,,,От 1 года до 3 лет,Полный день,"['python', 'c++', 'stm32', 'esp32', 'радиотехника']",микроконтроллер управление архитектура алгоритм тестирование c c++ электроника радиотехник архитектура микроконтроллер микроконтроллер stm32 esp32 rs485 python numpy scipy matplotlib осциллограф мультиметр
41,88049796,101XP,C++ Developer,False,,,От 1 года до 3 лет,Удаленная работа,"['android', 'ооп', 'c++', 'cocos2d-x', 'ios']",c++ ios android c++ ios android ооп ооп
42,88855687,Иви,Инженер-программист,True,120000.0,200000.0,От 1 года до 3 лет,Полный день,"['c++', 'can', 'rs-485']",микроконтроллер stm тз тестирование документация отчётность bitrix документация c с++ документация
43,87771005,Спектральные,Senior C++ Engineer,True,400000.0,600000.0,Более 6 лет,Полный день,"['highload', 'c/c++', 'linux', 'low-latency']",senior c++ формула c++ ответственность с++ архитектура linux
44,88003640,АУРУС,Программист C++,True,50000.0,200000.0,От 1 года до 3 лет,Гибкий график,"['opengl', 'c++', 'гис', 'tcp/ip', 'cuda', 'qt', 'gis', 'sqlite', 'vulcan']",гис с++ windows linux с++ документация с++ ооп алгоритм jira linux qt sql гис 3d vulcan opengl cuda
45,89039896,Ростелеком,Разработчик C++,False,,,От 1 года до 3 лет,Полный день,"['stl', 'git', 'linux', 'python', 'c++']",ui телевидение kanban тестирование ci с++ stl ооп c c++ алгоритм git документация sql nosql golang python cmake gitlab ci docker linux
46,88535451,CRTEX,Golang developer (Junior+),True,,150000.0,От 1 года до 3 лет,Полный день,"['golang', 'postgresql', 'grpc', 'rest', 'kafka']",middle микросервис архитектура grpc rest kafka rabbitmq алгоритм golang c++ python java golang backend k8s
47,88549081,ГАОДИ,Junior C/C++ разработчик,False,,,От 1 года до 3 лет,Полный день,"['git', 'c/c++', 'linux', 'python', 'bash']",с++ микроконтроллер документация архитектура linux c c++ git микроконтроллер документация внимательность ответственность python bash linux
48,87948877,СТК,Инженер-программист встраиваемых систем (Embedded software engineer),False,,,От 1 года до 3 лет,Полный день,"['c', 'c++', 'stm', 'atmel', 'can']",управление микроконтроллер stm atmel микроконтроллер stm atmel архитектура тестирование c микроконтроллер stm atmel git linux микроконтроллер с++ qt
49,87487442,СБЕР,C++ разработчик,False,,,От 3 до 6 лет,Полный день,,субд postgresql субд управление субд субд postgresql postgresql c субд postgresql алгоритм agile автоматизация ci cd страхование
50,89045861,ЦНИИАГ,Младший программист C/C++ (1720),True,60000.0,,От 1 года до 3 лет,Полный день,"['qt', 'qml']",документация qt qml postgresql gitlab ci cd qt sql ответственность внимательность обучаемость
51,88904964,Global,C++ developer with knowledge of algorithms,True,6425999.0,10442249.0,От 3 до 6 лет,Полный день,"['c++', 'algorithms']",c++ english c++ c++ solid algorithms developers solid algorithms c++
52,87853923,Вектор,Разработчик на UE5,True,100000.0,,От 1 года до 3 лет,Удаленная работа,,архитектура ui ai с++
53,49922352,Актив,Developer C++,False,,,От 1 года до 3 лет,Гибкий график,,c++ ос gitlab ci jenkins gitlab ci windows c++ openssl boost c++ алгоритм алгоритм c c++ python swift kotlin java c c# ос
54,88857870,Роботех,Системный программист C++ (Linux),True,100000.0,,От 1 года до 3 лет,Полный день,"['doxyge', 'clion', 'stl', 'boost', 'cmake', 'git', 'gitflow']",управление документация с++ modbus ооп документация робототехника автоматизация linux windows администрирование linux архитектура linux c++ stl boost cmake git gitflow clion
55,89012885,СБЕР,C/C++ разработчик,False,,,От 3 до 6 лет,Полный день,,с++ c++ linux dpdk страхование
56,87970889,КИТТ,Инженер АСУ ТП,False,,,От 1 года до 3 лет,Удаленная работа,"['scada', 'codesys', 'асу', 'плк', 'modbus', 'hmi', 'plc']",scada автоматизация документация управление плк codesys с# c++ python tia sql nosql modbus git
57,89041014,Digital,C++ Developer middle/middle+/senior,False,,,От 3 до 6 лет,Удаленная работа,"['c++', 'ооп', 'субд', 'sql', 'ci/cd', 'soap', 'rest', 'linux', 'opengl']",c++ c++ ооп субд oracle postgresql mysql mssql sql документация linux ci cd api opengl soap rest grpc gitlab jira confluence ios android архитектура qt docker
58,88962389,СБЕР,С++ разработчик (создание русской версии ChatGPT),False,,,От 3 до 6 лет,Гибкий график,,llm llm llm алгоритм тестирование ml c++ python алгоритм boost stl git cmake cuda страхование
59,89005041,Арудит,Разработчик C/C++ Linux,True,217500.0,304500.0,От 3 до 6 лет,Полный день,"['c/c++', 'c++', 'ооп', 'stl', 'linux', 'kernel']",linux linux ооп c c++ stl linux linux git windows
60,87764150,Синерджи,Разработчик С++ (middle \ senior),False,,,От 3 до 6 лет,Удаленная работа,"['git', 'linux', 'docker', 'postgresql', 'c++', 'c#']",управление windows linux управление аудит iot linux middle senior c++ cmake solid boost c# windows ос linux ос ос web http rest архитектура github gitlab bitbucket
61,88391347,Шелудько,Программист C/С++,True,170000.0,,От 3 до 6 лет,Удаленная работа,,c++ 3d 3d 3d com 3d алгоритм 3d алгоритм алгоритм тестирование с++ stl алгоритм 3d git управление redmine jira qt 3d opengl opencl cuda
62,86563401,Иннотех,Программист–математик в области вычислительной электродинамики,False,,,От 3 до 6 лет,Полный день,"['c++', 'hitran', 'cae', 'cfd']",cae cfd моделирование электроника cfd cae cae cad с++ алгоритм алгоритм stl boost моделирование ооп алгоритм windows linux git
63,88750574,Терем,Программист Турбо,True,230000.0,,От 3 до 6 лет,Полный день,,delphi c++ администрирование sql sql sql субд sql
64,88998474,ИНИТИ,Инженер-программист,True,95700.0,,От 1 года до 3 лет,Полный день,,управление ооп ооп c++ python perl java ос linux документация git автоматизация bash powershell http управление zabbix c
65,88897683,NetUP,Middle/Senior C/С++ разработчик,True,150000.0,200000.0,От 3 до 6 лет,Полный день,"['c++', 'c', 'sql', 'linux', 'ооп']",c++ c++ ооп linux cmake git python golang js vue js sql документация
66,88405567,Элпитех,Системный программист С,False,,,От 3 до 6 лет,Удаленная работа,"['электроника', 'bios', 'linux']",тестирование stm32 bios linux c c с++ микроконтроллер stm32 bios linux gcc git bash awk python embedded архитектура arm
67,88946949,Работут,Разработчик C++,True,180000.0,300000.0,От 3 до 6 лет,Удаленная работа,,с++ c++ stl boost qt postgresql python jenkins c++ linux solid yocto buildroot тестирование python qt
68,87818825,СБЕР,Hardware Engineer,False,,,От 3 до 6 лет,Полный день,,трассировка c c++ тестирование экб микроконтроллер stm atmel c c++ документация планирование страхование c
69,87847293,AINAUTS,Senior C++ developer / С++ разработчик,True,412942.0,,Более 6 лет,Удаленная работа,"['c++', 'linux', 'tcp/ip', 'udp/ip']",c++ linux shell senior c++ linux development embedded linux embedded development c++ c++ linux development shell development c++ embedded linux development linux development embedded development
70,88864726,Винторог,Unreal Engine developer,False,,,От 3 до 6 лет,Удаленная работа,['c++'],web ios android с++ agile архитектура
71,88813460,Московская,Node.js-разработчик / Backend-разработчик / Node.js-developer,False,,,От 1 года до 3 лет,Удаленная работа,"['sql', 'postgresql', 'linux', 'git', 'js', 'node.js', 'backend']",грамотность js ui архитектура js архитектура javascript typescript express js sql postgresql orm postgresql elasticsearch redis redis rabbitmq git алгоритм c++ java go архитектура мотивация руководитель
72,88360572,TQB,Embedded разработчик,True,120000.0,250000.0,От 3 до 6 лет,Полный день,"['linux', 'c/c++', 'embedded']",bsp embedded linux тестирование embedded документация архитектура ос linux yocto buildroot автоматизация cmake shell python git jira confluence agile
73,88480858,Cropix,Ведущий программист С++ (удаленно),True,261000.0,261000.0,От 3 до 6 лет,Удаленная работа,"['c++', 'boost', 'sql', 'linux', 'postgresql']",c++17 c++ boost sql postgres алгоритм linux boost sql sql postgres c++17 python enterprise
74,88763168,МСК,Ведущий инженер-программист (Программист C/C++),True,,261000.0,От 3 до 6 лет,Полный день,"['stl', 'qt', 'c/c++', 'c++', 'git']",c c++ архитектура windows linux c++ qt gui qt stl qt git алгоритм моделирование
75,87307917,Медицинские,Junior C++ developer,False,,,От 1 года до 3 лет,Полный день,,linux windows qt qml c++ управление с++ ооп тестирование opencv
76,88208492,МСН,Backend-developer Junior+ (Биллинговая-система),False,,,От 1 года до 3 лет,Полный день,"['sql', 'ооп', 'php', 'python', 'docker', 'git', 'yii', 'postgresql']",api sql postgres python php c++ java микросервис rest api автоматизация git linux docker php yii python fastapi kafka postgres cassandra java spring scala elk etl kubernetes docker
77,87878412,Рент,Специалист по машинному обучению в области computer vision,True,,217500.0,От 3 до 6 лет,Полный день,"['python', 'c++', 'linux', 'cuda']",ml python нейросеть 3d c++ ml api c++ python нейросеть 3d алгоритм opencl opengl cuda
78,88603910,АйТи,Инженер-программист микроконтроллеров (STM32),True,180000.0,,От 3 до 6 лет,Полный день,"['c/c++', 'stm32', 'rs485']",микроконтроллер stm32 микроконтроллер stm32 тестирование микроконтроллер с++ микроконтроллер stm32
79,88294476,Гумич,Программист-разработчик C++/QML,True,135000.0,,От 3 до 6 лет,Полный день,"['c++', 'робототехника', 'qt', 'qml', 'gui']",нейросеть алгоритм руководитель управление ос windows android linux документация архитектура с++ ооп stl qt qml qt тз git алгоритм gstreamer android qml ux ui робототехника
80,88592856,Delo,Системный программист,False,,,Нет опыта,Удаленная работа,,android c c++ java aosp android
81,88838336,БФТ,Golang разработчик,False,,,От 1 года до 3 лет,Удаленная работа,"['golang', 'sql', 'postgresql', 'ci/cd', 'git']",golang архитектура backend golang sql git postgresql ci cd golang api с++ clickhouse страхование
82,88943953,SafeTech,Desktop-разработчик (Middle/C++),True,200000.0,,От 3 до 6 лет,Полный день,,ответственность с++ qt c++ qt cmake windows api linux api macos api архитектура c api swiftui криптография
83,88139865,Яндекс,Стажер-разработчик бэкенда,False,,,Нет опыта,Гибкий график,"['c++', 'python', 'java']",управление алгоритм java python c++
84,87741610,Пермякова,"Python Developer, Budapest",False,,,От 1 года до 3 лет,Полный день,"['python', 'linux', 'embedded']",python python python grpc qt c++ qml тестирование linux macos windows linux embedded python git c++ qt администрирование linux c grpc mongodb
85,88949748,Flame,Middle Fullstack разработчик VPN [REMOTE] @ Flame Robotics LLC,True,100000.0,200000.0,От 1 года до 3 лет,Удаленная работа,"['mysql', 'php', 'c/c++', 'docker', 'backend', 'ruby', 'vpn', 'node.js', 'mongodb']",vpn mvp тз управление управление вёрстка vpn js express react vue angular vpn
86,88471773,Компания,C++ разработчик на видеопотоки (удаленно),True,300000.0,,От 3 до 6 лет,Полный день,"['linux', 'bash', 'docker', 'c++']",senior c++ stl алгоритм gstreamer ffmpeg opencv ос linux cmake docker bash git
87,87828459,Итсэлайв,Unreal Engine Developer,True,,150000.0,От 1 года до 3 лет,Полный день,,rnd c++ python python git
88,88630858,НПК,Программист/ Embedded-разработчик /Программист встраиваемых систем/ Программист микроконтроллеров,False,,,От 1 года до 3 лет,Полный день,['git'],микроконтроллер stm32 с++ hal spl микроконтроллер stm32 rs485 микроконтроллер микроконтроллер git
89,88529470,Star,Embedded-разработчик,False,,,От 3 до 6 лет,Полный день,"['с', 'c++', 'qt', 'arm', 'posix', 'linux']",embedded управление embedded linux документация c++ c qt linux api архитектура архитектура arm микроконтроллер
90,87623692,MetaQuotes,"Full stack C# Developer (C# JS), Кипр",True,562274.0,,Более 6 лет,Полный день,"['c#', 'asp.net', 'mvc', 'webfroms', 'html', 'javascript', 'css', 'postgresql', 'mysql', 'http', 'https', 'tcp/ip', 'svn', 'c/c++', 'seo', 'html5', 'css3', 'less', 'websocket', 'resharper']",c# mvc webfroms html javascript css postgresql mysql c# javascript css html iis sql субд http https многопоточность управление svn c c++ seo c# mvc postgresql mysql javascript html5 css3 less resharper
91,88265960,getmatch,Разработчик С++,True,,450000.0,От 3 до 6 лет,Полный день,['c++'],с++ с++ с++ с++ с++ алгоритм
92,88844037,МИРТЕК,Программист встраиваемых систем и микроконтроллеров,False,,,От 3 до 6 лет,Полный день,"['iot', 'c/c++', 'assembler', 'linux', 'cortex-a', 'микроконтроллеры', 'risc-v', 'мультиметр', 'осциллограф']",управление управление алгоритм архитектура embedded микроконтроллер тестирование радиотехник микроконтроллер микроконтроллер мультиметр осциллограф iot микроконтроллер микроконтроллер ос linux assembler
93,71147159,Дубайт,Программист С++ Senior,True,400000.0,700000.0,От 3 до 6 лет,Полный день,"['linux', 'c++', 'python', 'алгоритмы']",c++ senior с++ многопоточность linux архитектура ос linux stl posix api алгоритм документация linux
94,88596228,Рентген,Инженер-программист,True,134850.0,,От 1 года до 3 лет,Полный день,"['c/c++', 'linux']",робототехника радиотехник с++ windows linux linux git субд mysql postgres opencv микроконтроллер arm осциллограф тестирование микроконтроллер тестирование документация
95,67445784,Топ,Разработчик С++,False,,,От 1 года до 3 лет,Полный день,"['c++', 'stl']",3d сапр с++ stl windows api cad
96,88309985,TrueConf,Разработчик мобильных приложений Android (Java),True,80000.0,,Нет опыта,Гибкий график,"['android', 'java', 'ооп', 'git', 'webview', 'recyclerview', 'livedata', 'xml']",коммуникация android java android ux ui qa ооп java android api gui git recyclerview java с++
97,88491085,Нанософт,Разработчик C++,False,,,От 3 до 6 лет,Полный день,"['wix', 'gui', 'sql', 'svn', 'com', 'qt', 'cad', 'autocad']",моделирование архитектура моделирование c++ c# c++ stl api qt com sql субд postgresql sql управление svn управление redmine wix teamcity автоматизация autocad qt gui qt субд sql документация com qt sdk cad autocad руководитель
98,89008828,СБЕР,Computer Vision Engineer,False,,,От 3 до 6 лет,Полный день,,робототехника cv pytorch алгоритм алгоритм документация лидар python 3d pytorch docker tensorrt ci cd алгоритм лидар c++ cuda страхование
99,88528276,CORE,Разработчик С++,True,217500.0,252300.0,От 1 года до 3 лет,Гибкий график,,архитектура с++ java управление с++ c++ windows linux sql git с++
100,87711479,МАГНИТ,Middle C++ разработчик,False,,,От 1 года до 3 лет,Полный день,"['python', 'linux', 'postgresql', 'c++', 'shell', 'awk', 'firebird', 'stl', 'boost', 'oracle']",middle с++ c++ stl boost linux firebird postgresql oracle qt qml git confluence jira с++ руководитель ос linux архитектура с++ ос linux stl boost qml oracle firebird postgresql shell awk python
101,88468934,ATLANTGROUP,Инженер-программист,False,,,От 3 до 6 лет,Удаленная работа,['строительство'],управление автоматизация управление тестирование photoshop документация документация управление документация python java c++ креативность
102,81978278,UPwms,Junior С++ developer/Программист,True,120000.0,150000.0,От 1 года до 3 лет,Полный день,"['sql', 'git', 'java', 'svn', 'c++', 'c/c++', 'postgresql', 'linux']",тестирование тестирование c++ субд sql документация svn git linux java ответственность middle
103,88599196,INPAS,"Frontend-разработчик (Vue, React)",False,,,От 3 до 6 лет,Полный день,"['vue', 'react']",frontend ui react vue js angular jquery с++ java backend java spring hibernate spring mvc js angular jquery react oracle postgresql git maven ci jenkins jira
104,85936398,ФГУП,Программист Python/C++,True,60000.0,,От 1 года до 3 лет,Полный день,"['python', 'c++', 'java', 'sql']",администрирование администрирование тестирование python c++ perl java sql git автоматизация bash powershell документация ооп c++ python perl java внимательность
105,84634845,Суровый,Rust Developer,True,130500.0,348000.0,От 3 до 6 лет,Полный день,"['rust', 'c++', 'postgresql', 'sql', 'oracle', 'elasticsearch', 'git', 'c']",тз субд криптография rust rust rust субд rust rust субд ci rust rust rust rust ос алгоритм c c postgresql oracle elasticsearch git gitlab gitlab ci c c++ mysql postgresql
106,88895477,Wanted,C++ разработчик,True,,450000.0,От 3 до 6 лет,Гибкий график,['c++'],маркетплейс микросервис алгоритм архитектура алгоритм c++ stl postgresql redis python javascript unix linux архитектура
107,87765678,GAGAR,Разработчик BMC,False,,,От 1 года до 3 лет,Полный день,,c c++ тестирование документация bmc bmc тестирование c++ embedded linux yocto linux kernel linux c++
108,88891556,ШТРИХ,Программист микроконтроллеров,True,140000.0,200000.0,От 3 до 6 лет,Полный день,"['rtos', 'arm', 'git', 'c/c++', 'с++']",микроконтроллер c c++ arm микроконтроллер rtos git мультиметр осциллограф документация
109,75697160,АСТ,Разработчик С++,False,,,Более 6 лет,Полный день,"['c++', 'c/c++', 'stl', 'boost', 'tcp/ip']",тестирование документация документация архитектура документация документация документация с++ ос windows linux stl boost git git jira jenkins ci ответственность коммуникабельность еспд sql субд vpn windows linux python мотивация
110,76030530,Zecurion,Старший разработчик С++ / Developer C++,False,,,От 1 года до 3 лет,Полный день,,c++ тестирование c c++ api js go документация ответственность
111,86281799,М13,С++/Qt разработчик (Senior),False,,,Более 6 лет,Полный день,"['c++', 'qt', 'linux', 'git', 'bash', 'docker', 'sqlite', 'rest', 'json']",с++ qt senior с++ qt qml qt sql sqlite с++ linux git bash docker qt http rest json ооп solid микросервис тестирование teamcity
112,88620316,СБЕР,С++ / Qt developer (SberOS),False,,,От 3 до 6 лет,Полный день,,debian linux ос debian debian тестирование c++17 linux bash cmake алгоритм ооп git документация soap rest json http windows stl boost
113,88677773,Иннотех,Разработчик BigData/Python,False,,,От 1 года до 3 лет,Удаленная работа,,python ml ml алгоритм agile ооп python python java javascript hive cassandra spark spark ml алгоритм ml sql тестирование gitlab jenkins bitbucket teamcity микросервис scala java c++ ml pandas numpy catboost xgboost pytorch ml cuda opencl
114,88693355,ФГУП,Инженер отдела разработки СУ малых атмосферных БПЛА,True,87000.0,,Нет опыта,Гибкий график,,микроконтроллер с++ с# микроконтроллер управление робототехника документация ответственность коммуникабельность
115,88293080,СБЕР,C++ разработчик,False,,,От 3 до 6 лет,Полный день,,ос linux linux ос c++ ос windows linux bitbucket jira confluence scrum ос linux ос linux linux c arm sdk архитектура devops linux архитектура api posix shell python linux ос linux arm страхование страхование agile
116,88398766,Alar,С++ разработчик,True,276982.0,369310.0,От 3 до 6 лет,Полный день,"['git', 'c++', 'sql', 'opencl']",c++ sql алгоритм agile планирование c c++ алгоритм cuda opencl ооп k8s
117,88814704,АВЕКС,Программист C++,True,150000.0,300000.0,Более 6 лет,Полный день,"['c++', 'c/c++', 'ооп', 'linux', 'qt', 'windows']",c++ qt qt c++ linux windows c++ скд с++ windows qt linux windows
118,88839956,VK,"С++ разработчик в команду Desktop VK Мессенджера ВКонтакте, удалённо",False,,,От 1 года до 3 лет,Полный день,"['c++', 'qt']",macos windows linux с++ qt алгоритм
119,81528715,ЛАБИРИНТ,Программист SQL,True,80000.0,120000.0,От 1 года до 3 лет,Полный день,,api документация ооп rest api многопоточность субд sql c++ документация
950,46152540,Актив,Senior Developer С/С++,False,,,От 3 до 6 лет,Полный день,,с++ java kotlin c swift c c++ gitlab jenkins jira windows гост windows linux windows linux android ios openssl c с++ c с++ api алгоритм scrum java c python c# gui
951,88227514,Яндекс,С++ разработчик инфраструктуры ML Геокодера,False,,,От 3 до 6 лет,Гибкий график,,алгоритм ml с++ алгоритм
